activity_id,standard_value,pchembl_value,is_active,mw_freebase,alogp,psa,hbd,hba,rtb,compound_id,target_name
339708,34000000.000000000000000000000000000000,NULL,0,119.12,-1.52,72.55,2,4,2,CHEMBL440577,"Glutathione hydrolase 1 proenzyme"
339710,1.300000000000000000000000000000,NULL,0,119.12,-1.52,72.55,2,4,2,CHEMBL440577,"Glutathione hydrolase 1 proenzyme"
339712,38000.000000000000000000000000000000,NULL,0,119.12,-1.52,72.55,2,4,2,CHEMBL440577,Unchecked
633783,15.300000000000000000000000000000,NULL,0,851.02,-3.61,359.52,13,13,27,CHEMBL448105,"Glycylpeptide N-tetradecanoyltransferase"
248653,15300.000000000000000000000000000000,4.82,0,851.02,-3.61,359.52,13,13,27,CHEMBL448105,"Peptide N-myristoyltransferase"
33305,15000.000000000000000000000000000000,NULL,0,851.02,-3.61,359.52,13,13,27,CHEMBL448105,"Peptide N-myristoyltransferase"
1106017,60.000000000000000000000000000000,7.22,1,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Beta-lactamase TEM"
1106018,100000.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Metallo-beta-lactamase type 2"
1106019,48000.000000000000000000000000000000,4.32,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
1106020,16.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Escherichia coli"
1106021,2.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Escherichia coli"
971160,943.000000000000000000000000000000,6.03,1,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
971161,25.000000000000000000000000000000,7.60,1,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Beta-lactamase TEM"
971162,4000.000000000000000000000000000000,5.40,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
971163,128.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Escherichia coli"
971164,128.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Escherichia coli"
971165,128.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Escherichia coli"
971166,128.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Enterobacter cloacae"
971167,128.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Enterobacter cloacae"
971168,64.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Staphylococcus aureus"
155840,250.000000000000000000000000000000,6.60,1,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
155841,101600.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
607812,7700.000000000000000000000000000000,5.11,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
607813,60.000000000000000000000000000000,7.22,1,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Beta-lactamase TEM"
607814,8.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Escherichia coli"
607815,64.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Enterobacter cloacae"
607816,4.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Serratia marcescens"
607817,32.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Serratia marcescens"
607818,8.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Pseudomonas aeruginosa"
607819,32.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Pseudomonas aeruginosa"
343075,0.050000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
343076,0.100000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
343077,0.006000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
343078,0.800000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Metallo-beta-lactamase type 2"
343079,0.032000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
343080,0.006000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Beta-lactamase TEM"
343081,0.040000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Beta-lactamase SHV-1"
343082,0.010000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Beta-lactamase BRO-1"
343083,0.130000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Beta-lactamase OXA-1"
343084,0.050000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
284133,100.000000000000000000000000000000,7.00,1,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
284134,48000.000000000000000000000000000000,4.32,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
59899,100.000000000000000000000000000000,7.00,1,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Beta-lactamase TEM"
59900,30.000000000000000000000000000000,7.52,1,300.30,-1.52,122.46,1,7,3,CHEMBL404,IMI-1
59901,400000.000000000000000000000000000000,NULL,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,"Metallo-beta-lactamase type 2"
59902,84000.000000000000000000000000000000,4.08,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
835183,190.000000000000000000000000000000,6.72,1,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
835184,930.000000000000000000000000000000,6.03,1,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
835185,1900.000000000000000000000000000000,5.72,0,300.30,-1.52,122.46,1,7,3,CHEMBL404,Beta-lactamase
